icd9_hcup,icd9_omop,icd9_ccs,ccs2,ccs2_desc,hcup_desc,omop_desc,concept_id
41.03,41.03,41.03,8.1,Bone marrow transplant [64.],ALLOGRFT BONE MARROW NOS (Begin 1988),Allogeneic bone marrow transplant without purging,2002362
41.04,41.04,41.04,8.1,Bone marrow transplant [64.],AUTOL HEMATOPO STEM CELL TRA (Begin 1994),Autologous hematopoietic stem cell transplant without purging,2002363
41.05,41.05,41.05,8.1,Bone marrow transplant [64.],ALLOGEN HEMATO STEM CELL TRA (Begin 1997),Allogeneic hematopoietic stem cell transpant without purging,2002364
41.06,41.06,41.06,8.1,Bone marrow transplant [64.],CORD BLOOD STEM CELL TRANS (Begin 1997),Cord blood stem cell transplant,2002365
41.07,41.07,41.07,8.1,Bone marrow transplant [64.],AUTOL HEMAT STEM CELL TRANS (Begin 2000),Autologous hematopoietic stem cell transplant with purging,2002366
41.08,41.08,41.08,8.1,Bone marrow transplant [64.],ALLOGEN HEMAT STEM CELL TRAN (Begin 2000),Allogeneic hematopoietic stem cell transplant with purging,2002367
41.09,41.09,41.09,8.1,Bone marrow transplant [64.],AUTOL BONE MARROW TRANS W/PU (Begin 2000),Autologous bone marrow transplant with purging,2002368
41.2,41.2,41.2,8.3,Procedures on spleen [66.],SPLENOTOMY,Splenotomy,2002370
41.41,41.41,41.41,8.3,Procedures on spleen [66.],SPLENIC CYST MARSUPIAL,Marsupialization of splenic cyst,2002388
41.42,41.42,41.42,8.3,Procedures on spleen [66.],EXC SPLENIC LESION/TISS,Excision of lesion or tissue of spleen,2002389
41.43,41.43,41.43,8.3,Procedures on spleen [66.],PARTIAL SPLENECTOMY,Partial splenectomy,2002390
41.5,41.5,41.5,8.3,Procedures on spleen [66.],TOTAL SPLENECTOMY,Total splenectomy,2002391
41.93,41.93,41.93,8.3,Procedures on spleen [66.],EXC OF ACCESSORY SPLEEN,Excision of accessory spleen,2002405
41.94,41.94,41.94,16.1,Other organ transplantation [176.],SPLEEN TRANSPLANTATION,Transplantation of spleen,2002406
41.95,41.95,41.95,8.3,Procedures on spleen [66.],REPAIR OF SPLEEN,Repair and plastic operations on spleen,2002407
41.99,41.99,41.99,8.3,Procedures on spleen [66.],SPLEEN OPERATION NEC,Other operations on spleen,2002409
42.01,42.01,42.01,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGEAL WEB INCISION,Incision of esophageal web,2002422
42.09,42.09,42.09,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGEAL INCISION NEC,Other incision of esophagus,2002423
42.10,42.10,42.10,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGOSTOMY NOS,"Esophagostomy, not otherwise specified",2002425
42.11,42.11,42.11,9.26,Other OR upper GI therapeutic procedures [94.],CERVICAL ESOPHAGOSTOMY,Cervical esophagostomy,2002426
42.12,42.12,42.12,9.26,Other OR upper GI therapeutic procedures [94.],ESOPH POUCH EXTERIORIZAT,Exteriorization of esophageal pouch,2002427
42.19,42.19,42.19,9.26,Other OR upper GI therapeutic procedures [94.],EXT FISTULIZAT ESOPH NEC,Other external fistulization of esophagus,2002428
42.31,42.31,42.31,9.26,Other OR upper GI therapeutic procedures [94.],LOC EXCIS ESOPH DIVERTIC,Local excision of esophageal diverticulum,2002447
42.32,42.32,42.32,9.26,Other OR upper GI therapeutic procedures [94.],LOCAL EXCIS ESOPHAG NEC,Local excision of other lesion or tissue of esophagus,2002448
42.39,42.39,42.39,9.26,Other OR upper GI therapeutic procedures [94.],DESTRUCT ESOPHAG LES NEC,Other destruction of lesion or tissue of esophagus,2002450
42.40,42.40,42.40,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGECTOMY NOS,"Esophagectomy, not otherwise specified",2002462
42.41,42.41,42.41,9.26,Other OR upper GI therapeutic procedures [94.],PARTIAL ESOPHAGECTOMY,Partial esophagectomy,2002463
42.42,42.42,42.42,9.26,Other OR upper GI therapeutic procedures [94.],TOTAL ESOPHAGECTOMY,Total esophagectomy,2002464
42.51,42.51,42.51,9.26,Other OR upper GI therapeutic procedures [94.],THORAC ESOPHAGOESOPHAGOS,Intrathoracic esophagoesophagostomy,2002466
42.52,42.52,42.52,9.26,Other OR upper GI therapeutic procedures [94.],THORAC ESOPHAGOGASTROST,Intrathoracic esophagogastrostomy,2002467
42.53,42.53,42.53,9.26,Other OR upper GI therapeutic procedures [94.],THORAC SM BOWEL INTERPOS,Intrathoracic esophageal anastomosis with interposition of small bowel,2002468
42.54,42.54,42.54,9.26,Other OR upper GI therapeutic procedures [94.],THORAC ESOPHAGOENTER NEC,Other intrathoracic esophagoenterostomy,2002469
42.55,42.55,42.55,9.26,Other OR upper GI therapeutic procedures [94.],THORAC LG BOWEL INTERPOS,Intrathoracic esophageal anastomosis with interposition of colon,2002470
42.56,42.56,42.56,9.26,Other OR upper GI therapeutic procedures [94.],THORAC ESOPHAGOCOLOS NEC,Other intrathoracic esophagocolostomy,2002471
42.58,42.58,42.58,9.26,Other OR upper GI therapeutic procedures [94.],THORAC INTERPOSITION NEC,Intrathoracic esophageal anastomosis with other interposition,2002482
42.59,42.59,42.59,9.26,Other OR upper GI therapeutic procedures [94.],THORAC ESOPHAG ANAST NEC,Other intrathoracic anastomosis of esophagus,2002483
42.61,42.61,42.61,9.26,Other OR upper GI therapeutic procedures [94.],STERN ESOPHAGOESOPHAGOST,Antesternal esophagoesophagostomy,2002485
42.62,42.62,42.62,9.26,Other OR upper GI therapeutic procedures [94.],STERN ESOPHAGOGASTROSTOM,Antesternal esophagogastrostomy,2002486
42.63,42.63,42.63,9.26,Other OR upper GI therapeutic procedures [94.],STERN SM BOWEL INTERPOS,Antesternal esophageal anastomosis with interposition of small bowel,2002487
42.64,42.64,42.64,9.26,Other OR upper GI therapeutic procedures [94.],STERN ESOPHAGOENTER NEC,Other antesternal esophagoenterostomy,2002488
42.65,42.65,42.65,9.26,Other OR upper GI therapeutic procedures [94.],STERN LG BOWEL INTERPOS,Antesternal esophageal anastomosis with interposition of colon,2002489
42.66,42.66,42.66,9.26,Other OR upper GI therapeutic procedures [94.],STERN ESOPHAGOCOLOS NEC,Other antesternal esophagocolostomy,2002490
42.68,42.68,42.68,9.26,Other OR upper GI therapeutic procedures [94.],STERN INTERPOSITION NEC,Other antesternal esophageal anastomosis with interposition,2002491
42.69,42.69,42.69,9.26,Other OR upper GI therapeutic procedures [94.],STERN ESOPHAG ANAST NEC,Other antesternal anastomosis of esophagus,2002502
42.7,42.7,42.7,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGOMYOTOMY,Esophagomyotomy,2002503
42.82,42.82,42.82,9.26,Other OR upper GI therapeutic procedures [94.],SUTURE ESOPHAGEAL LACER,Suture of laceration of esophagus,2002506
42.83,42.83,42.83,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGOSTOMY CLOSURE,Closure of esophagostomy,2002507
42.84,42.84,42.84,9.26,Other OR upper GI therapeutic procedures [94.],ESOPH FISTULA REPAIR NEC,"Repair of esophageal fistula, not elsewhere classified",2002508
42.85,42.85,42.85,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAG STRICTURE REPAIR,Repair of esophageal stricture,2002509
42.86,42.86,42.86,9.26,Other OR upper GI therapeutic procedures [94.],PROD SUBQ TUNNEL NO ANAS,Production of subcutaneous tunnel without esophageal anastomosis,2002510
42.87,42.87,42.87,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGEAL GRAFT NEC,Other graft of esophagus,2002511
42.89,42.89,42.89,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGEAL REPAIR NEC,Other repair of esophagus,2002522
42.91,42.91,42.91,9.1,Therapeutic procedures on the esophagus,(INJECT) LIG ESOPH VARIX (Begin 1980),Ligation of esophageal varices,2002524
43.0,43.0,43.0,9.26,Other OR upper GI therapeutic procedures [94.],GASTROTOMY,Gastrotomy,2002528
43.1,43.1,43.1,9.3,Gastrostomy; temporary and permanent [71.],TEMP GASTROSTOMY(Begin 1980 End 1989),Gastrostomy,2002529
43.3,43.3,43.3,9.26,Other OR upper GI therapeutic procedures [94.],PYLOROMYOTOMY,Pyloromyotomy,2002542
43.42,43.42,43.42,9.26,Other OR upper GI therapeutic procedures [94.],LOCAL GASTR EXCISION NEC,Local excision of other lesion or tissue of stomach,2002545
43.49,43.49,43.49,9.26,Other OR upper GI therapeutic procedures [94.],LOCAL GASTR DESTRUCT NEC,Other destruction of lesion or tissue of stomach,2002546
43.5,43.5,43.5,9.6,Gastrectomy; partial and total [74.],PROXIMAL GASTRECTOMY,Partial gastrectomy with anastomosis to esophagus,2002547
43.6,43.6,43.6,9.6,Gastrectomy; partial and total [74.],DISTAL GASTRECTOMY,Partial gastrectomy with anastomosis to duodenum,2002548
43.7,43.7,43.7,9.6,Gastrectomy; partial and total [74.],PART GASTREC W JEJ ANAST,Partial gastrectomy with anastomosis to jejunum,2002549
43.81,43.81,43.81,9.6,Gastrectomy; partial and total [74.],PART GAST W JEJ TRANSPOS,Partial gastrectomy with jejunal transposition,2002551
43.82,43.82,43.82,9.6,Gastrectomy; partial and total [74.],LAP VERTICAL GASTRECTOMY (Begin 2011),Laparoscopic vertical (sleeve) gastrectomy,40756780
43.89,43.89,43.89,9.6,Gastrectomy; partial and total [74.],PARTIAL GASTRECTOMY NEC,Open and other partial gastrectomy,2002562
43.91,43.91,43.91,9.6,Gastrectomy; partial and total [74.],TOT GAST W INTES INTERPO,Total gastrectomy with intestinal interposition,2002564
43.99,43.99,43.99,9.6,Gastrectomy; partial and total [74.],TOTAL GASTRECTOMY NEC,Other total gastrectomy,2002565
44.00,44.00,44.00,9.26,Other OR upper GI therapeutic procedures [94.],VAGOTOMY NOS,"Vagotomy, not otherwise specified",2002568
44.01,44.01,44.01,9.26,Other OR upper GI therapeutic procedures [94.],TRUNCAL VAGOTOMY,Truncal vagotomy,2002569
44.02,44.02,44.02,9.26,Other OR upper GI therapeutic procedures [94.],HIGHLY SELECT VAGOTOMY,Highly selective vagotomy,2002570
44.03,44.03,44.03,9.26,Other OR upper GI therapeutic procedures [94.],SELECTIVE VAGOTOMY NEC,Other selective vagotomy,2002571
44.2,44.2,44.2,9.26,Other OR upper GI therapeutic procedures [94.],PYLOROPLASTY (Begin 1980 End 1986),Pyloroplasty,2002589
44.21,44.21,44.21,9.26,Other OR upper GI therapeutic procedures [94.],DILATE PYLORUS INCISION (Begin 1986),Dilation of pylorus by incision,2002590
44.29,44.29,44.29,9.26,Other OR upper GI therapeutic procedures [94.],OTHER PYLOROPLASTY (Begin 1986),Other pyloroplasty,2002602
44.31,44.31,44.31,9.26,Other OR upper GI therapeutic procedures [94.],HIGH GASTRIC BYPASS,High gastric bypass,2002604
44.32,44.32,44.32,9.3,Gastrostomy; temporary and permanent [71.],PERCUTANEOUS GASTROJEJUNOSTO (Begin 2001),Percutaneous [endoscopic] gastrojejunostomy,2002605
44.38,44.38,44.38,9.26,Other OR upper GI therapeutic procedures [94.],LAP GASTROENTEROSTOMY (Begin 2004),Laparoscopic gastroenterostomy,2002606
44.39,44.39,44.39,9.26,Other OR upper GI therapeutic procedures [94.],GASTROENTEROSTOMY NEC,Other gastroenterostomy without gastrectomy,2002607
44.40,44.40,44.40,9.26,Other OR upper GI therapeutic procedures [94.],SUTURE PEPTIC ULCER NOS,"Suture of peptic ulcer, not otherwise specified",2002609
44.41,44.41,44.41,9.26,Other OR upper GI therapeutic procedures [94.],SUT GASTRIC ULCER SITE,Suture of gastric ulcer site,2002610
44.42,44.42,44.42,9.26,Other OR upper GI therapeutic procedures [94.],SUTURE DUODEN ULCER SITE,Suture of duodenal ulcer site,2002611
44.5,44.5,44.5,9.26,Other OR upper GI therapeutic procedures [94.],REVISION GASTRIC ANASTOM,Revision of gastric anastomosis,2002625
44.61,44.61,44.61,9.26,Other OR upper GI therapeutic procedures [94.],SUTURE GASTRIC LACERAT,Suture of laceration of stomach,2002627
44.63,44.63,44.63,9.26,Other OR upper GI therapeutic procedures [94.],CLOSE GASTRIC FISTUL NEC,Closure of other gastric fistula,2002629
44.64,44.64,44.64,9.26,Other OR upper GI therapeutic procedures [94.],GASTROPEXY,Gastropexy,2002630
44.65,44.65,44.65,9.26,Other OR upper GI therapeutic procedures [94.],ESOPHAGOGASTROPLASTY,Esophagogastroplasty,2002631
44.66,44.66,44.66,9.26,Other OR upper GI therapeutic procedures [94.],CREAT ESOPHAGASTR SPHINC,Other procedures for creation of esophagogastric sphincteric competence,2002642
44.67,44.67,44.67,9.26,Other OR upper GI therapeutic procedures [94.],LAP CREAT ESOPH SPHINCT (Begin 2004),Laparoscopic procedures for creation of esophagogastric sphincteric competence,2002643
44.68,44.68,44.68,9.26,Other OR upper GI therapeutic procedures [94.],LAPAROSCOP GASTROPLASTY (Begin 2004),Laparoscopic gastroplasty,2002644
44.69,44.69,44.69,9.26,Other OR upper GI therapeutic procedures [94.],GASTRIC REPAIR NEC,Other repair of stomach,2002645
44.91,44.91,44.91,9.26,Other OR upper GI therapeutic procedures [94.],LIGATE GASTRIC VARICES,Ligation of gastric varices,2002647
44.92,44.92,44.92,9.26,Other OR upper GI therapeutic procedures [94.],INTRAOP GASTRIC MANIPUL,Intraoperative manipulation of stomach,2002648
44.95,44.95,44.95,9.26,Other OR upper GI therapeutic procedures [94.],LAP GASTRIC RESTRIC PROC (Begin 2004),Laparoscopic gastric restrictive procedure,2002651
44.96,44.96,44.96,9.26,Other OR upper GI therapeutic procedures [94.],LAP REV GAST RESTRI PROC (Begin 2004),Laparoscopic revision of gastric restrictive procedure,2002662
44.97,44.97,44.97,9.26,Other OR upper GI therapeutic procedures [94.],LAP REM GAST RESTRIC DEV (Begin 2004),Laparoscopic removal of gastric restrictive device(s),2002663
44.98,44.98,44.98,9.26,Other OR upper GI therapeutic procedures [94.],ADJUST GAST RESTRICT DEV (Begin 2004),(Laparoscopic) adjustment of size of adjustable gastric restrictive device,2002664
44.99,44.99,44.99,9.26,Other OR upper GI therapeutic procedures [94.],GASTRIC OPERATION NEC,Other operations on stomach,2002665
45.00,45.00,45.00,9.28,Other OR lower GI therapeutic procedures [96.],INTESTINAL INCISION NOS,"Incision of intestine, not otherwise specified",2002668
45.01,45.01,45.01,9.28,Other OR lower GI therapeutic procedures [96.],DUODENAL INCISION,Incision of duodenum,2002669
45.02,45.02,45.02,9.28,Other OR lower GI therapeutic procedures [96.],SMALL BOWEL INCISION NEC,Other incision of small intestine,2002670
45.03,45.03,45.03,9.28,Other OR lower GI therapeutic procedures [96.],LARGE BOWEL INCISION,Incision of large intestine,2002671
45.31,45.31,45.31,9.28,Other OR lower GI therapeutic procedures [96.],(LOC) EXCISE DUODENUM LES (Begin 1980),Other local excision of lesion of duodenum,2002722
45.32,45.32,45.32,9.28,Other OR lower GI therapeutic procedures [96.],DESTRUCT DUODEN LES NEC,Other destruction of lesion of duodenum,2002723
45.33,45.33,45.33,9.28,Other OR lower GI therapeutic procedures [96.],LOCAL EXCIS SM BOWEL NEC,"Local excision of lesion or tissue of small intestine, except duodenum",2002724
45.34,45.34,45.34,9.28,Other OR lower GI therapeutic procedures [96.],DESTR SM BOWEL LES NEC,"Other destruction of lesion of small intestine, except duodenum",2002725
45.41,45.41,45.41,9.11,Local excision of large intestine lesion (not endoscopic) [79.],EXCIS LG INTESTINE LES,Excision of lesion or tissue of large intestine,2002727
45.49,45.49,45.49,9.28,Other OR lower GI therapeutic procedures [96.],DESTRUC LG BOWEL LES NEC,Other destruction of lesion of large intestine,2002730
45.50,45.50,45.50,9.28,Other OR lower GI therapeutic procedures [96.],INTEST SEG ISOLAT NOS,"Isolation of intestinal segment, not otherwise specified",2002742
45.51,45.51,45.51,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWEL SEGMENT ISOLAT,Isolation of segment of small intestine,2002743
45.52,45.52,45.52,9.28,Other OR lower GI therapeutic procedures [96.],LG BOWEL SEGMENT ISOLAT,Isolation of segment of large intestine,2002744
45.61,45.61,45.61,9.7,Small bowel resection [75.],MULT SEG SM BOWEL EXCIS,Multiple segmental resection of small intestine,2002746
45.62,45.62,45.62,9.7,Small bowel resection [75.],PART SM BOWEL RESECT NEC,Other partial resection of small intestine,2002747
45.63,45.63,45.63,9.7,Small bowel resection [75.],TOTAL REMOVAL SM BOWEL,Total removal of small intestine,2002748
45.71,45.71,45.71,9.10,Colorectal resection [78.],MULT SEG LG BOWEL EXCIS,Open and other multiple segmental resection of large intestine,2002750
45.72,45.72,45.72,9.10,Colorectal resection [78.],CECECTOMY,Open and other cecectomy,2002751
45.73,45.73,45.73,9.10,Colorectal resection [78.],RIGHT HEMICOLECTOMY,Open and other right hemicolectomy,2002762
45.74,45.74,45.74,9.10,Colorectal resection [78.],TRANSVERSE COLON RESECT,Open and other resection of transverse colon,2002763
45.75,45.75,45.75,9.10,Colorectal resection [78.],LEFT HEMICOLECTOMY (Begin 1988),Open and other left hemicolectomy,2002764
45.76,45.76,45.76,9.10,Colorectal resection [78.],SIGMOIDECTOMY,Open and other sigmoidectomy,2002765
45.79,45.79,45.79,9.10,Colorectal resection [78.],PART LG BOWEL EXCIS NEC,Other and unspecified partial excision of large intestine,2002766
45.8,45.8,45.8,9.10,Colorectal resection [78.],TOT INTRAABD COLECTOMY (end 2008),Total intra-abdominal colectomy,2002767
45.81,45.81,45.81,9.10,Colorectal resection [78.],LAP TOT INTR-AB COLECTMY (begin 2008),Laparoscopic total intra-abdominal colectomy,2002768
45.82,45.82,45.82,9.10,Colorectal resection [78.],OP TOT INTR-ABD COLECTMY (begin 2008),Open total intra-abdominal colectomy,2002769
45.83,45.83,45.83,9.10,Colorectal resection [78.],TOT ABD COLECTMY NEC/NOS (begin 2008),Other and unspecified total intra-abdominal colectomy,2002770
45.90,45.90,45.90,9.28,Other OR lower GI therapeutic procedures [96.],INTESTINAL ANASTOM NOS,"Intestinal anastomosis, not otherwise specified",2002782
45.91,45.91,45.91,9.28,Other OR lower GI therapeutic procedures [96.],SMTOSM BOWEL ANASTOM,Small-to-small intestinal anastomosis,2002783
45.92,45.92,45.92,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWELRECT STUMP ANAS,Anastomosis of small intestine to rectal stump,2002784
45.93,45.93,45.93,9.28,Other OR lower GI therapeutic procedures [96.],SMALLTOLARGE BOWEL NEC,Other small-to-large intestinal anastomosis,2002785
45.94,45.94,45.94,9.28,Other OR lower GI therapeutic procedures [96.],LGTOLG BOWEL ANASTOM,Large-to-large intestinal anastomosis,2002786
45.95,45.95,45.95,9.28,Other OR lower GI therapeutic procedures [96.],ANAL ANASTOMOSIS (Begin 1987),Anastomosis to anus,2002787
46.01,46.01,46.01,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWEL EXTERIORIZATION,Exteriorization of small intestine,2002790
46.02,46.02,46.02,9.28,Other OR lower GI therapeutic procedures [96.],RESECT EXT SEG SM BOWEL,Resection of exteriorized segment of small intestine,2002791
46.03,46.03,46.03,9.28,Other OR lower GI therapeutic procedures [96.],LG BOWEL EXTERIORIZATION,Exteriorization of large intestine,2002802
46.04,46.04,46.04,9.28,Other OR lower GI therapeutic procedures [96.],RESECT EXT SEG LG BOWEL,Resection of exteriorized segment of large intestine,2002803
46.10,46.10,46.10,9.4,Colostomy; temporary and permanent [72.],COLOSTOMY NOS,"Colostomy, not otherwise specified",2002805
46.11,46.11,46.11,9.4,Colostomy; temporary and permanent [72.],TEMPORARY COLOSTOMY,Temporary colostomy,2002806
46.13,46.13,46.13,9.4,Colostomy; temporary and permanent [72.],PERMANENT COLOSTOMY NEC (Begin 1992),Permanent colostomy,2002807
46.20,46.20,46.20,9.5,Ileostomy and other enterostomy [73.],ILEOSTOMY NOS,"Ileostomy, not otherwise specified",2002810
46.21,46.21,46.21,9.5,Ileostomy and other enterostomy [73.],TEMPORARY ILEOSTOMY,Temporary ileostomy,2002811
46.22,46.22,46.22,9.5,Ileostomy and other enterostomy [73.],CONTINENT ILEOSTOMY,Continent ileostomy,2002822
46.23,46.23,46.23,9.5,Ileostomy and other enterostomy [73.],PERMANENT ILEOSTOMY NEC,Other permanent ileostomy,2002823
46.40,46.40,46.40,9.28,Other OR lower GI therapeutic procedures [96.],INTEST STOMA REVIS NOS,"Revision of intestinal stoma, not otherwise specified",2002830
46.41,46.41,46.41,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWEL STOMA REVISION,Revision of stoma of small intestine,2002831
46.42,46.42,46.42,9.28,Other OR lower GI therapeutic procedures [96.],PERICOLOST HERNIA REPAIR,Repair of pericolostomy hernia,2002842
46.43,46.43,46.43,9.28,Other OR lower GI therapeutic procedures [96.],LG BOWEL STOMA REVIS NEC,Other revision of stoma of large intestine,2002843
46.50,46.50,46.50,9.28,Other OR lower GI therapeutic procedures [96.],INTEST STOMA CLOSURE NOS,"Closure of intestinal stoma, not otherwise specified",2002845
46.51,46.51,46.51,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWEL STOMA CLOSURE,Closure of stoma of small intestine,2002846
46.52,46.52,46.52,9.28,Other OR lower GI therapeutic procedures [96.],LG BOWEL STOMA CLOSURE,Closure of stoma of large intestine,2002847
46.60,46.60,46.60,9.28,Other OR lower GI therapeutic procedures [96.],INTESTINAL FIXATION NOS,"Fixation of intestine, not otherwise specified",2002849
46.61,46.61,46.61,9.28,Other OR lower GI therapeutic procedures [96.],SM BOWELABD WALL FIXAT,Fixation of small intestine to abdominal wall,2002850
46.62,46.62,46.62,9.28,Other OR lower GI therapeutic procedures [96.],SMALL BOWEL FIXATION NEC,Other fixation of small intestine,2002851
46.63,46.63,46.63,9.28,Other OR lower GI therapeutic procedures [96.],LG BOWELABD WALL FIXAT,Fixation of large intestine to abdominal wall,2002862
46.64,46.64,46.64,9.28,Other OR lower GI therapeutic procedures [96.],LARGE BOWEL FIXATION NEC,Other fixation of large intestine,2002863
46.71,46.71,46.71,9.28,Other OR lower GI therapeutic procedures [96.],DUODENAL LACERAT SUTURE,Suture of laceration of duodenum,2002865
46.72,46.72,46.72,9.28,Other OR lower GI therapeutic procedures [96.],DUODENAL FISTULA CLOSURE,Closure of fistula of duodenum,2002866
46.73,46.73,46.73,9.28,Other OR lower GI therapeutic procedures [96.],SMALL BOWEL SUTURE NEC,"Suture of laceration of small intestine, except duodenum",2002867
46.74,46.74,46.74,9.28,Other OR lower GI therapeutic procedures [96.],CLOSE SM BOWEL FIST NEC,"Closure of fistula of small intestine, except duodenum",2002868
46.75,46.75,46.75,9.28,Other OR lower GI therapeutic procedures [96.],SUTURE LG BOWEL LACERAT,Suture of laceration of large intestine,2002869
46.76,46.76,46.76,9.28,Other OR lower GI therapeutic procedures [96.],CLOSE LG BOWEL FISTULA,Closure of fistula of large intestine,2002870
46.79,46.79,46.79,9.28,Other OR lower GI therapeutic procedures [96.],REPAIR OF INTESTINE NEC,Other repair of intestine,2002871
46.80,46.80,46.80,9.28,Other OR lower GI therapeutic procedures [96.],INTRAAB BOWEL MANIP NOS,"Intra-abdominal manipulation of intestine, not otherwise specified",2002883
46.81,46.81,46.81,9.28,Other OR lower GI therapeutic procedures [96.],INTRAABD SM BOWEL MANIP,Intra-abdominal manipulation of small intestine,2002884
46.82,46.82,46.82,9.28,Other OR lower GI therapeutic procedures [96.],INTRAABD LG BOWEL MANIP,Intra-abdominal manipulation of large intestine,2002885
46.91,46.91,46.91,9.28,Other OR lower GI therapeutic procedures [96.],MYOTOMY OF SIGMOID COLON,Myotomy of sigmoid colon,2002888
46.92,46.92,46.92,9.28,Other OR lower GI therapeutic procedures [96.],MYOTOMY OF COLON NEC,Myotomy of other parts of colon,2002889
46.93,46.93,46.93,9.28,Other OR lower GI therapeutic procedures [96.],REVISE SM BOWEL ANASTOM,Revision of anastomosis of small intestine,2002890
46.94,46.94,46.94,9.28,Other OR lower GI therapeutic procedures [96.],REVISE LG BOWEL ANASTOM,Revision of anastomosis of large intestine,2002891
46.97,46.97,46.97,16.1,Other organ transplantation [176.],TRANSPLANT OF INTESTINE (Begin 2000),Transplant of intestine,2002904
46.99,46.99,46.99,9.28,Other OR lower GI therapeutic procedures [96.],INTESTINAL OP NEC,Other operations on intestines,2002905
47.0,47.0,47.0,9.12,Appendectomy [80.],APPENDECTOMY (End 1996),Appendectomy,2002907
47.01,47.01,47.01,9.12,Appendectomy [80.],LAPAROSCOP APPENDECT (Begin 1996),Laparoscopic appendectomy,2002908
47.09,47.09,47.09,9.12,Appendectomy [80.],OTHER APPENDECT (Begin 1996),Other appendectomy,2002909
47.1,47.1,47.1,9.12,Appendectomy [80.],INCIDENTAL APPENDECTOMY (End 1996),Incidental appendectomy,2002910
47.11,47.11,47.11,9.12,Appendectomy [80.],LAPAROSCOP INCID APPEND (Begin 1996),Laparoscopic incidental appendectomy,2002911
47.19,47.19,47.19,9.12,Appendectomy [80.],OTH INCID APPEND (Begin 1996),Other incidental appendectomy,2002922
47.2,47.2,47.2,9.28,Other OR lower GI therapeutic procedures [96.],DRAIN APPENDICEAL ABSC,Drainage of appendiceal abscess,2002923
47.91,47.91,47.91,9.28,Other OR lower GI therapeutic procedures [96.],APPENDICOSTOMY,Appendicostomy,2002925
47.92,47.92,47.92,9.28,Other OR lower GI therapeutic procedures [96.],CLOSE APPENDICEAL FISTUL,Closure of appendiceal fistula,2002926
47.99,47.99,47.99,9.28,Other OR lower GI therapeutic procedures [96.],APPENDICEAL OPS NEC,Other operations on appendix,2002927
48.0,48.0,48.0,9.28,Other OR lower GI therapeutic procedures [96.],PROTOMY,Proctotomy,2002929
48.1,48.1,48.1,9.28,Other OR lower GI therapeutic procedures [96.],PROSTOMY,Proctostomy,2002930
48.35,48.35,48.35,9.28,Other OR lower GI therapeutic procedures [96.],LOCAL EXCIS RECTAL LES,Local excision of rectal lesion or tissue,2002964
48.40,48.40,48.40,9.10,Colorectal resection [78.],PULL-THRU RES RECTUM NOS (begin 2008),"Pull-through resection of rectum, not otherwise specified",2002967
48.41,48.41,48.41,9.10,Colorectal resection [78.],SOAVE SUBMUC RECT RESECT,Soave submucosal resection of rectum,2002968
48.42,48.42,48.42,9.10,Colorectal resection [78.],LAP PULL-THRU RES RECTUM (begin 2008),Laparoscopic pull-through resection of rectum,2002969
48.43,48.43,48.43,9.10,Colorectal resection [78.],OPN PULL-THRU RES RECTUM (begin 2008),Open pull-through resection of rectum,2002970
48.49,48.49,48.49,9.10,Colorectal resection [78.],PULLTHRU RECT RESEC NEC,Other pull-through resection of rectum,2002971
48.5,48.5,48.5,9.10,Colorectal resection [78.],ABDPERINEAL RECT RESECT (end 2008),Abdominoperineal resection of rectum,2002982
48.50,48.50,48.50,9.10,Colorectal resection [78.],ABDPERNEAL RES RECTM NOS (begin 2008),"Abdominoperineal resection of the rectum, not otherwise specified",2002983
48.51,48.51,48.51,9.10,Colorectal resection [78.],LAP ABDPERNEAL RESC REC (begin 2008),Laparoscopic abdominoperineal resection of the rectum,2002984
48.52,48.52,48.52,9.10,Colorectal resection [78.],OPN ABDPERNEAL RESC REC (begin 2008),Open abdominoperineal resection of the rectum,2002985
48.59,48.59,48.59,9.10,Colorectal resection [78.],ABDPERNEAL RESC RECT NEC (begin 2008),Other abdominoperineal resection of the rectum,2002986
48.61,48.61,48.61,9.10,Colorectal resection [78.],TRANSSAC RECTOSIGMOIDECT,Transsacral rectosigmoidectomy,2002988
48.62,48.62,48.62,9.10,Colorectal resection [78.],ANT RECT RESECT W COLOST,Anterior resection of rectum with synchronous colostomy,2002989
48.63,48.63,48.63,9.10,Colorectal resection [78.],ANTERIOR RECT RESECT NEC,Other anterior resection of rectum,2002990
48.64,48.64,48.64,9.10,Colorectal resection [78.],POSTERIOR RECT RESECTION,Posterior resection of rectum,2002991
